### RESUME
run_name,date,n_epochs,lr,wd,B,M,I,D,H,n_epoch_warmup,enc_type,pretrained,best_val_loss,best_ep_loss,best_val_accuracy,best_ep_accuracy,best_val_kappa,best_ep_kappa,best_val_f1,best_ep_f1,final_train_loss,final_val_loss,final_train_accuracy,final_val_accuracy,final_train_kappa,final_val_kappa,final_train_f1,final_val_f1,train_vram_mb,train_time_s,val_vram_mb,val_time_s
ips_ddr_v1,2026-05-24 05:50,250,0.0001,0.1,16,10,10,512,8,5,resnet18,True,0.442059,55,0.856972,153,0.884213,105,0.673111,64,0.00319,1.040641,0.999361,0.840591,0.999341,0.873584,0.999408,0.627605,6526.6,616.1,1141.5,74.0

### COURBES PAR EPOQUE
epoch,lr,train_loss,train_accuracy,train_kappa,train_f1,val_loss,val_accuracy,val_kappa,val_f1
206,7.84e-06,0.011614,0.996645,0.997263,0.993063,1.07562,0.831003,0.870053,0.623255
207,7.5e-06,0.009494,0.997284,0.997162,0.995076,1.05321,0.837795,0.869529,0.630562
208,7.17e-06,0.010111,0.996166,0.997263,0.989594,1.041325,0.834598,0.867484,0.625524
209,6.85e-06,0.011851,0.996166,0.996654,0.993748,1.013412,0.838594,0.867082,0.632219
210,6.53e-06,0.012864,0.996326,0.996249,0.995988,1.010507,0.839792,0.875229,0.639931
211,6.22e-06,0.009324,0.996965,0.996757,0.995986,1.009003,0.840991,0.87329,0.640415
212,5.91e-06,0.01025,0.997125,0.997259,0.995631,0.98787,0.838993,0.87148,0.628244
213,5.62e-06,0.010162,0.996645,0.996504,0.995009,0.958882,0.84139,0.874246,0.63587
214,5.33e-06,0.00888,0.997444,0.996606,0.99557,0.973913,0.840192,0.870158,0.640936
215,5.05e-06,0.006634,0.998083,0.998022,0.996942,0.991355,0.844187,0.874642,0.635232
216,4.77e-06,0.008119,0.997284,0.99701,0.996365,1.037853,0.833799,0.870197,0.632795
217,4.51e-06,0.004577,0.998882,0.999189,0.997098,0.99701,0.838194,0.870925,0.628149
218,4.25e-06,0.006156,0.998243,0.998126,0.995999,0.99792,0.840991,0.872031,0.633906
219,3.99e-06,0.007873,0.996805,0.996251,0.994783,1.00107,0.838993,0.877032,0.634001
220,3.75e-06,0.006626,0.997604,0.998023,0.995098,1.036275,0.839792,0.870391,0.625969
221,3.51e-06,0.00926,0.996965,0.996757,0.995032,0.999509,0.844187,0.873316,0.62787
222,3.29e-06,0.008165,0.997284,0.996857,0.997562,1.009526,0.844586,0.877785,0.635776
223,3.06e-06,0.00749,0.997923,0.997363,0.997517,0.975404,0.84139,0.874628,0.632538
224,2.85e-06,0.005861,0.998722,0.998835,0.998355,0.982299,0.847383,0.87969,0.639254
225,2.64e-06,0.004774,0.999042,0.998936,0.998541,1.01554,0.842189,0.87292,0.63648
226,2.45e-06,0.005878,0.998562,0.998631,0.996869,1.007784,0.842988,0.874541,0.632708
227,2.26e-06,0.005919,0.998243,0.99853,0.9972,1.044393,0.840591,0.873644,0.634001
228,2.07e-06,0.006131,0.997923,0.998278,0.996408,0.991383,0.846584,0.875029,0.638497
229,1.9e-06,0.010018,0.996805,0.996705,0.995079,0.962946,0.845785,0.878221,0.629593
230,1.73e-06,0.004875,0.998562,0.998328,0.998477,1.018522,0.843388,0.873723,0.637638
231,1.58e-06,0.004847,0.998882,0.999037,0.997373,1.026058,0.840591,0.870884,0.62523
232,1.42e-06,0.003726,0.998562,0.998631,0.998293,1.033777,0.84139,0.87515,0.623516
233,1.28e-06,0.004475,0.997923,0.997971,0.995715,1.021671,0.84139,0.875247,0.625134
234,1.15e-06,0.006628,0.997923,0.997669,0.998446,1.021567,0.842589,0.877026,0.626539
235,1.02e-06,0.007121,0.998083,0.998023,0.997154,1.059477,0.839393,0.872931,0.631858
